#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Nov_2023_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-10-31 23:50:00 to 2023-11-30 23:30:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   90,20231031.2350/
   91,20231031.2355/
   92,20231101.0000/
   92,20231101.0005/
   91,20231101.0010/
   91,20231101.0015/
   86,20231101.0050/
   84,20231101.0055/
   83,20231101.0100/
   83,20231101.0105/
   81,20231101.0110/
   80,20231101.0115/
   72,20231101.0150/
   71,20231101.0155/
   72,20231101.0200/
   71,20231101.0205/
   68,20231101.0210/
   67,20231101.0215/
   61,20231101.0250/
   64,20231101.0255/
   62,20231101.0300/
   58,20231101.0305/
   57,20231101.0310/
   60,20231101.0315/
   60,20231101.0320/
   55,20231101.0325/
   54,20231101.0330/
   50,20231101.0350/
   50,20231101.0355/
   47,20231101.0400/
   45,20231101.0405/
   48,20231101.0410/
   47,20231101.0415/
   43,20231101.0420/
   44,20231101.0425/
   45,20231101.0430/
   42,20231101.0450/
   44,20231101.0455/
   41,20231101.0500/
   39,20231101.0505/
   41,20231101.0510/
   44,20231101.0515/
   41,20231101.0520/
   39,20231101.0525/
   38,20231101.0530/
   37,20231101.0550/
   37,20231101.0555/
   36,20231101.0600/
   36,20231101.0605/
   36,20231101.0610/
   34,20231101.0615/
   30,20231101.0620/
   31,20231101.0625/
   33,20231101.0630/
   32,20231101.0650/
   33,20231101.0655/
   30,20231101.0700/
   30,20231101.0705/
   31,20231101.0710/
   30,20231101.0715/
   28,20231101.0720/
   30,20231101.0725/
   31,20231101.0730/
   29,20231101.0750/
   30,20231101.0755/
   29,20231101.0800/
   28,20231101.0805/
   30,20231101.0810/
   31,20231101.0815/
   29,20231101.0820/
   27,20231101.0825/
   28,20231101.0830/
   29,20231101.0850/
   31,20231101.0855/
   32,20231101.0900/
   31,20231101.0905/
   30,20231101.0910/
   31,20231101.0915/
   32,20231101.0920/
   31,20231101.0925/
   29,20231101.0930/
   32,20231101.0950/
   32,20231101.0955/
   31,20231101.1000/
   31,20231101.1005/
   32,20231101.1010/
   33,20231101.1015/
   32,20231101.1020/
   30,20231101.1025/
   30,20231101.1030/
   33,20231101.1050/
   32,20231101.1055/
   29,20231101.1100/
   30,20231101.1105/
   34,20231101.1110/
   35,20231101.1115/
   31,20231101.1120/
   29,20231101.1125/
   33,20231101.1130/
   36,20231101.1150/
   35,20231101.1155/
   36,20231101.1200/
   37,20231101.1205/
   37,20231101.1210/
   33,20231101.1215/
   34,20231101.1220/
   39,20231101.1225/
   41,20231101.1230/
   41,20231101.1250/
   39,20231101.1255/
   36,20231101.1300/
   37,20231101.1305/
   36,20231101.1310/
   36,20231101.1315/
   37,20231101.1320/
   37,20231101.1325/
   35,20231101.1330/
   39,20231101.1350/
   37,20231101.1355/
   38,20231101.1400/
   39,20231101.1405/
   39,20231101.1410/
   39,20231101.1415/
   46,20231101.1450/
   45,20231101.1455/
   45,20231101.1500/
   48,20231101.1505/
   52,20231101.1510/
   52,20231101.1515/
   50,20231101.1520/
   50,20231101.1525/
   50,20231101.1530/
   49,20231101.1550/
   49,20231101.1555/
   50,20231101.1600/
   52,20231101.1605/
   50,20231101.1610/
   49,20231101.1615/
   50,20231101.1620/
   52,20231101.1625/
   51,20231101.1630/
   55,20231101.1650/
   57,20231101.1655/
   60,20231101.1700/
   61,20231101.1705/
   61,20231101.1710/
   61,20231101.1715/
   63,20231101.1720/
   64,20231101.1725/
   64,20231101.1730/
   71,20231101.1750/
   72,20231101.1755/
   73,20231101.1800/
   72,20231101.1805/
   73,20231101.1810/
   74,20231101.1815/
   75,20231101.1820/
   74,20231101.1825/
   73,20231101.1830/
   78,20231101.1850/
   77,20231101.1855/
   77,20231101.1900/
   79,20231101.1905/
   80,20231101.1910/
   81,20231101.1915/
   81,20231101.1920/
   83,20231101.1925/
   84,20231101.1930/
   85,20231101.1950/
   85,20231101.1955/
   86,20231101.2000/
   88,20231101.2005/
   88,20231101.2010/
   88,20231101.2015/
   88,20231101.2020/
   88,20231101.2025/
   89,20231101.2030/
   90,20231101.2050/
   89,20231101.2055/
   89,20231101.2100/
   91,20231101.2105/
   93,20231101.2110/
   94,20231101.2115/
   93,20231101.2120/
   93,20231101.2125/
   93,20231101.2130/
   94,20231101.2150/
   94,20231101.2155/
   94,20231101.2200/
   94,20231101.2205/
   93,20231101.2210/
   94,20231101.2215/
   95,20231101.2220/
   95,20231101.2225/
   95,20231101.2230/
   93,20231101.2250/
   92,20231101.2255/
   93,20231101.2300/
   95,20231101.2305/
   96,20231101.2310/
   94,20231101.2315/
   94,20231101.2320/
   95,20231101.2325/
   95,20231101.2330/
   93,20231101.2350/
   94,20231101.2355/
   92,20231102.0000/
