#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Sep_2023_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-09-01 00:05:00 to 2023-09-26 03:00:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   85,20230901.0005/
   85,20230901.0010/
   84,20230901.0015/
   84,20230901.0035/
   84,20230901.0040/
   85,20230901.0045/
   79,20230901.0105/
   79,20230901.0110/
   83,20230901.0115/
   84,20230901.0135/
   85,20230901.0140/
   80,20230901.0145/
   77,20230901.0205/
   75,20230901.0210/
   76,20230901.0215/
   76,20230901.0235/
   76,20230901.0240/
   76,20230901.0245/
   75,20230901.0305/
   77,20230901.0310/
   78,20230901.0315/
   81,20230901.0335/
   80,20230901.0340/
   79,20230901.0345/
   83,20230901.0405/
   83,20230901.0410/
   81,20230901.0415/
   81,20230901.0435/
   82,20230901.0440/
   81,20230901.0445/
   79,20230901.0505/
   80,20230901.0510/
   83,20230901.0515/
   85,20230901.0535/
   85,20230901.0540/
   86,20230901.0545/
   92,20230901.0605/
   93,20230901.0610/
   93,20230901.0615/
  100,20230901.0635/
   98,20230901.0640/
   98,20230901.0645/
   99,20230901.0705/
   98,20230901.0710/
  102,20230901.0715/
  101,20230901.0735/
  102,20230901.0740/
  102,20230901.0745/
  103,20230901.0805/
  106,20230901.0810/
  103,20230901.0815/
  107,20230901.0835/
  104,20230901.0840/
