#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Oct_2023_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-10-03 01:05:00 to 2023-10-31 23:15:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   97,20231003.0105/
   96,20231003.0110/
   96,20231003.0115/
   98,20231003.0120/
  100,20231003.0125/
  100,20231003.0130/
   96,20231003.0135/
   93,20231003.0140/
   96,20231003.0145/
   97,20231003.0150/
   94,20231003.0155/
   92,20231003.0200/
   91,20231003.0205/
   93,20231003.0210/
   94,20231003.0215/
   87,20231003.0220/
   82,20231003.0225/
   87,20231003.0230/
   87,20231003.0235/
   85,20231003.0240/
   79,20231003.0245/
   74,20231003.0250/
   79,20231003.0255/
   79,20231003.0300/
   74,20231003.0305/
   75,20231003.0310/
   74,20231003.0315/
   74,20231010.0105/
   76,20231010.0110/
   81,20231010.0115/
   80,20231010.0120/
   76,20231010.0125/
   75,20231010.0130/
   76,20231010.0135/
   79,20231010.0140/
   80,20231010.0145/
   77,20231010.0150/
   76,20231010.0155/
   78,20231010.0200/
   81,20231010.0205/
   81,20231010.0210/
   76,20231010.0215/
   74,20231010.0220/
   76,20231010.0225/
   78,20231010.0230/
   76,20231010.0235/
   76,20231010.0240/
   78,20231010.0245/
   79,20231010.0250/
   78,20231010.0255/
   77,20231010.0300/
