#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Dec_2023_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-12-01 00:20:00 to 2023-12-21 11:45:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
  109,20231201.0020/
  107,20231201.0025/
  104,20231201.0030/
  104,20231201.0035/
  103,20231201.0040/
  102,20231201.0045/
   93,20231201.0120/
   94,20231201.0125/
   94,20231201.0130/
   92,20231201.0135/
   91,20231201.0140/
   92,20231201.0145/
   86,20231201.0220/
   87,20231201.0225/
   85,20231201.0230/
   81,20231201.0235/
   82,20231201.0240/
   85,20231201.0245/
   75,20231201.0320/
   73,20231201.0325/
   71,20231201.0330/
   70,20231201.0335/
   71,20231201.0340/
   69,20231201.0345/
   60,20231201.0420/
   58,20231201.0425/
   56,20231201.0430/
   58,20231201.0435/
   61,20231201.0440/
   58,20231201.0445/
   59,20231201.0520/
   56,20231201.0525/
   54,20231201.0530/
   55,20231201.0535/
   57,20231201.0540/
   54,20231201.0545/
   50,20231201.0620/
   51,20231201.0625/
   51,20231201.0630/
   48,20231201.0635/
   48,20231201.0640/
   51,20231201.0645/
   48,20231201.0720/
   47,20231201.0725/
   47,20231201.0730/
   49,20231201.0735/
   49,20231201.0740/
   45,20231201.0745/
   45,20231201.0820/
   40,20231201.0825/
   40,20231201.0830/
   43,20231201.0835/
   43,20231201.0840/
   43,20231201.0845/
   48,20231201.0920/
