#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Oct_2023_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-10-03 01:05:00 to 2023-10-31 23:15:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   98,20231003.0105/
   96,20231003.0110/
   94,20231003.0115/
   99,20231003.0120/
  101,20231003.0125/
  100,20231003.0130/
   95,20231003.0135/
   92,20231003.0140/
   97,20231003.0145/
   95,20231003.0150/
   93,20231003.0155/
   92,20231003.0200/
   92,20231003.0205/
   97,20231003.0210/
   96,20231003.0215/
   81,20231003.0220/
   84,20231003.0225/
   87,20231003.0230/
   85,20231003.0235/
   84,20231003.0240/
   73,20231003.0245/
   71,20231003.0250/
   81,20231003.0255/
   76,20231003.0300/
   72,20231003.0305/
   76,20231003.0310/
   70,20231003.0315/
   73,20231010.0105/
   76,20231010.0110/
   81,20231010.0115/
   77,20231010.0120/
   74,20231010.0125/
   75,20231010.0130/
   75,20231010.0135/
   79,20231010.0140/
   79,20231010.0145/
   76,20231010.0150/
   76,20231010.0155/
   79,20231010.0200/
   81,20231010.0205/
   79,20231010.0210/
   73,20231010.0215/
   73,20231010.0220/
   77,20231010.0225/
   77,20231010.0230/
   75,20231010.0235/
   76,20231010.0240/
   78,20231010.0245/
   77,20231010.0250/
   77,20231010.0255/
   76,20231010.0300/
   76,20231010.0305/
   78,20231010.0310/
   77,20231010.0315/
   75,20231010.0320/
   75,20231010.0325/
   77,20231010.0330/
   80,20231010.0335/
   80,20231010.0340/
   78,20231010.0345/
   79,20231010.0350/
   81,20231010.0355/
   77,20231010.0400/
   74,20231010.0405/
   75,20231010.0410/
   83,20231010.0415/
   84,20231010.0420/
   80,20231010.0425/
   81,20231010.0430/
   87,20231010.0435/
   88,20231010.0440/
   84,20231010.0445/
   81,20231010.0450/
   82,20231010.0455/
   84,20231010.0500/
