#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Dec_2023_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-12-01 00:20:00 to 2023-12-21 11:45:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
  109,20231201.0020/
  109,20231201.0025/
  106,20231201.0030/
  105,20231201.0035/
  104,20231201.0040/
  103,20231201.0045/
   95,20231201.0120/
   95,20231201.0125/
   95,20231201.0130/
   93,20231201.0135/
   91,20231201.0140/
   92,20231201.0145/
   86,20231201.0220/
   87,20231201.0225/
   86,20231201.0230/
   83,20231201.0235/
   83,20231201.0240/
   84,20231201.0245/
   76,20231201.0320/
   75,20231201.0325/
   72,20231201.0330/
   71,20231201.0335/
   72,20231201.0340/
   71,20231201.0345/
   61,20231201.0420/
   59,20231201.0425/
   57,20231201.0430/
   58,20231201.0435/
   60,20231201.0440/
   59,20231201.0445/
   59,20231201.0520/
   57,20231201.0525/
   55,20231201.0530/
   55,20231201.0535/
   57,20231201.0540/
   56,20231201.0545/
   52,20231201.0620/
   52,20231201.0625/
   52,20231201.0630/
   50,20231201.0635/
   49,20231201.0640/
   51,20231201.0645/
   50,20231201.0720/
   49,20231201.0725/
   48,20231201.0730/
   49,20231201.0735/
   49,20231201.0740/
   46,20231201.0745/
   47,20231201.0820/
   42,20231201.0825/
   40,20231201.0830/
   43,20231201.0835/
   44,20231201.0840/
   44,20231201.0845/
   50,20231201.0920/
   50,20231201.0925/
   52,20231201.0930/
   53,20231201.0935/
   52,20231201.0940/
   52,20231201.0945/
   53,20231201.1020/
   55,20231201.1025/
   55,20231201.1030/
   53,20231201.1035/
   51,20231201.1040/
   54,20231201.1045/
   53,20231201.1120/
   55,20231201.1125/
   52,20231201.1130/
   50,20231201.1135/
   54,20231201.1140/
   56,20231201.1145/
   60,20231201.1220/
   59,20231201.1225/
   57,20231201.1230/
   59,20231201.1235/
   63,20231201.1240/
   63,20231201.1245/
   64,20231201.1320/
   63,20231201.1325/
   63,20231201.1330/
   63,20231201.1335/
   62,20231201.1340/
   62,20231201.1345/
   62,20231201.1420/
   62,20231201.1425/
   62,20231201.1430/
   61,20231201.1435/
   63,20231201.1440/
   64,20231201.1445/
   70,20231201.1520/
   71,20231201.1525/
   71,20231201.1530/
   73,20231201.1535/
   73,20231201.1540/
   73,20231201.1545/
   77,20231201.1620/
   76,20231201.1625/
   75,20231201.1630/
   74,20231201.1635/
   74,20231201.1640/
   75,20231201.1645/
   82,20231201.1720/
   83,20231201.1725/
   81,20231201.1730/
   81,20231201.1735/
   83,20231201.1740/
   88,20231201.1745/
   95,20231201.1820/
   95,20231201.1825/
   96,20231201.1830/
   98,20231201.1835/
   97,20231201.1840/
   95,20231201.1845/
   99,20231201.1920/
   99,20231201.1925/
  100,20231201.1930/
  101,20231201.1935/
  101,20231201.1940/
  102,20231201.1945/
  106,20231201.2020/
  107,20231201.2025/
  109,20231201.2030/
  110,20231201.2035/
  110,20231201.2040/
  110,20231201.2045/
  113,20231201.2120/
  113,20231201.2125/
  113,20231201.2130/
  112,20231201.2135/
  112,20231201.2140/
  113,20231201.2145/
  112,20231201.2220/
  111,20231201.2225/
  109,20231201.2230/
  109,20231201.2235/
  113,20231201.2240/
  112,20231201.2245/
  113,20231201.2320/
  112,20231201.2325/
  112,20231201.2330/
  113,20231201.2335/
  112,20231201.2340/
  111,20231201.2345/
  109,20231202.0020/
  109,20231202.0025/
  112,20231202.0030/
  113,20231202.0035/
  111,20231202.0040/
  107,20231202.0045/
  106,20231202.0120/
  105,20231202.0125/
  104,20231202.0130/
  103,20231202.0135/
  103,20231202.0140/
  101,20231202.0145/
   96,20231202.0220/
   95,20231202.0225/
   94,20231202.0230/
   94,20231202.0235/
   92,20231202.0240/
   91,20231202.0245/
   89,20231202.0320/
   90,20231202.0325/
   89,20231202.0330/
   83,20231202.0335/
   80,20231202.0340/
   85,20231202.0345/
   73,20231202.0420/
   70,20231202.0425/
   68,20231202.0430/
   68,20231202.0435/
   69,20231202.0440/
   69,20231202.0445/
   65,20231202.0520/
   68,20231202.0525/
   69,20231202.0530/
   67,20231202.0535/
   67,20231202.0540/
   71,20231202.0545/
   65,20231202.0620/
   68,20231202.0625/
   66,20231202.0630/
   62,20231202.0635/
   63,20231202.0640/
   64,20231202.0645/
   60,20231202.0720/
   59,20231202.0725/
   59,20231202.0730/
   60,20231202.0735/
   60,20231202.0740/
   59,20231202.0745/
   55,20231202.0820/
   55,20231202.0825/
   57,20231202.0830/
   57,20231202.0835/
   54,20231202.0840/
   54,20231202.0845/
   57,20231202.0920/
   56,20231202.0925/
   57,20231202.0930/
   57,20231202.0935/
   56,20231202.0940/
   56,20231202.0945/
   60,20231202.1020/
   59,20231202.1025/
   57,20231202.1030/
   57,20231202.1035/
   59,20231202.1040/
   59,20231202.1045/
   60,20231202.1120/
   60,20231202.1125/
   59,20231202.1130/
   59,20231202.1135/
   59,20231202.1140/
   58,20231202.1145/
   60,20231202.1220/
   61,20231202.1225/
   62,20231202.1230/
   62,20231202.1235/
   59,20231202.1240/
   58,20231202.1245/
   65,20231202.1320/
   64,20231202.1325/
   64,20231202.1330/
   64,20231202.1335/
   64,20231202.1340/
   67,20231202.1345/
   64,20231202.1420/
   63,20231202.1425/
   61,20231202.1430/
   62,20231202.1435/
   65,20231202.1440/
   64,20231202.1445/
   69,20231202.1520/
   69,20231202.1525/
   71,20231202.1530/
   73,20231202.1535/
   74,20231202.1540/
   75,20231202.1545/
   76,20231202.1620/
   77,20231202.1625/
   78,20231202.1630/
   77,20231202.1635/
   75,20231202.1640/
   76,20231202.1645/
   76,20231202.1720/
   81,20231202.1725/
   83,20231202.1730/
   81,20231202.1735/
   82,20231202.1740/
   81,20231202.1745/
   87,20231202.1820/
   85,20231202.1825/
   86,20231202.1830/
   90,20231202.1835/
   93,20231202.1840/
   91,20231202.1845/
   95,20231202.1920/
   96,20231202.1925/
   94,20231202.1930/
   97,20231202.1935/
  100,20231202.1940/
   96,20231202.1945/
  101,20231202.2020/
   99,20231202.2025/
  101,20231202.2030/
  101,20231202.2035/
   99,20231202.2040/
  100,20231202.2045/
  104,20231202.2120/
  105,20231202.2125/
  104,20231202.2130/
  103,20231202.2135/
  102,20231202.2140/
  101,20231202.2145/
  105,20231202.2220/
  107,20231202.2225/
  109,20231202.2230/
  108,20231202.2235/
  106,20231202.2240/
  109,20231202.2245/
  110,20231202.2320/
  105,20231202.2325/
  105,20231202.2330/
  110,20231202.2335/
  108,20231202.2340/
  106,20231202.2345/
  103,20231203.0020/
  107,20231203.0025/
  108,20231203.0030/
  102,20231203.0035/
  101,20231203.0040/
  105,20231203.0045/
  107,20231203.0120/
  101,20231203.0125/
   99,20231203.0130/
  104,20231203.0135/
  107,20231203.0140/
  101,20231203.0145/
  101,20231203.0220/
  100,20231203.0225/
   95,20231203.0230/
   91,20231203.0235/
   93,20231203.0240/
   94,20231203.0245/
   85,20231203.0320/
   88,20231203.0325/
   88,20231203.0330/
   85,20231203.0335/
   85,20231203.0340/
   86,20231203.0345/
   84,20231203.0420/
   81,20231203.0425/
   83,20231203.0430/
   85,20231203.0435/
   83,20231203.0440/
   79,20231203.0445/
   77,20231203.0520/
   75,20231203.0525/
   74,20231203.0530/
   72,20231203.0535/
   72,20231203.0540/
   71,20231203.0545/
   69,20231203.0620/
   71,20231203.0625/
   70,20231203.0630/
   67,20231203.0635/
   65,20231203.0640/
   65,20231203.0645/
   65,20231203.0720/
   65,20231203.0725/
   66,20231203.0730/
   65,20231203.0735/
   62,20231203.0740/
   62,20231203.0745/
   59,20231203.0820/
   58,20231203.0825/
   60,20231203.0830/
   61,20231203.0835/
   60,20231203.0840/
   59,20231203.0845/
   58,20231203.0920/
   62,20231203.0925/
   63,20231203.0930/
   59,20231203.0935/
   57,20231203.0940/
   60,20231203.0945/
   58,20231203.1020/
   61,20231203.1025/
   62,20231203.1030/
   60,20231203.1035/
   61,20231203.1040/
   61,20231203.1045/
   64,20231203.1120/
   61,20231203.1125/
   56,20231203.1130/
   57,20231203.1135/
   62,20231203.1140/
   62,20231203.1145/
   59,20231203.1220/
   60,20231203.1225/
   61,20231203.1230/
   61,20231203.1235/
   59,20231203.1240/
   60,20231203.1245/
   61,20231203.1320/
   62,20231203.1325/
   64,20231203.1330/
   65,20231203.1335/
   64,20231203.1340/
   65,20231203.1345/
   66,20231203.1420/
   68,20231203.1425/
   65,20231203.1430/
   63,20231203.1435/
   65,20231203.1440/
   66,20231203.1445/
   69,20231203.1520/
   67,20231203.1525/
   67,20231203.1530/
   69,20231203.1535/
   71,20231203.1540/
   70,20231203.1545/
   72,20231203.1620/
   73,20231203.1625/
   74,20231203.1630/
   73,20231203.1635/
   73,20231203.1640/
   74,20231203.1645/
   78,20231203.1720/
   77,20231203.1725/
   77,20231203.1730/
   79,20231203.1735/
   80,20231203.1740/
   79,20231203.1745/
   86,20231203.1820/
   83,20231203.1825/
   82,20231203.1830/
   85,20231203.1835/
   87,20231203.1840/
   86,20231203.1845/
   91,20231203.1920/
   93,20231203.1925/
   92,20231203.1930/
   88,20231203.1935/
   89,20231203.1940/
   91,20231203.1945/
   93,20231203.2020/
   93,20231203.2025/
   94,20231203.2030/
   94,20231203.2035/
   94,20231203.2040/
   95,20231203.2045/
   97,20231203.2120/
   97,20231203.2125/
   98,20231203.2130/
   98,20231203.2135/
   98,20231203.2140/
   94,20231203.2145/
  101,20231203.2220/
   97,20231203.2225/
   96,20231203.2230/
  101,20231203.2235/
  100,20231203.2240/
   94,20231203.2245/
  102,20231203.2320/
   99,20231203.2325/
  101,20231203.2330/
  104,20231203.2335/
  101,20231203.2340/
   99,20231203.2345/
   98,20231204.0020/
   98,20231204.0025/
   99,20231204.0030/
   96,20231204.0035/
   97,20231204.0040/
   98,20231204.0045/
   95,20231204.0120/
   96,20231204.0125/
   98,20231204.0130/
   97,20231204.0135/
   97,20231204.0140/
   95,20231204.0145/
   94,20231204.0220/
   92,20231204.0225/
   93,20231204.0230/
   93,20231204.0235/
   89,20231204.0240/
   88,20231204.0245/
   81,20231204.0320/
   83,20231204.0325/
   86,20231204.0330/
   82,20231204.0335/
   81,20231204.0340/
   82,20231204.0345/
   83,20231204.0420/
   81,20231204.0425/
   80,20231204.0430/
   79,20231204.0435/
   79,20231204.0440/
   79,20231204.0445/
   72,20231204.0520/
   72,20231204.0525/
   73,20231204.0530/
   72,20231204.0535/
   67,20231204.0540/
   69,20231204.0545/
   68,20231204.0620/
   68,20231204.0625/
   66,20231204.0630/
   64,20231204.0635/
   65,20231204.0640/
   67,20231204.0645/
   59,20231204.0720/
   62,20231204.0725/
   62,20231204.0730/
   59,20231204.0735/
   58,20231204.0740/
   61,20231204.0745/
   59,20231204.0820/
   59,20231204.0825/
   60,20231204.0830/
   63,20231204.0835/
   62,20231204.0840/
   58,20231204.0845/
   58,20231204.0920/
   55,20231204.0925/
   55,20231204.0930/
   58,20231204.0935/
   58,20231204.0940/
   55,20231204.0945/
   58,20231204.1020/
   59,20231204.1025/
   58,20231204.1030/
   59,20231204.1035/
   58,20231204.1040/
