#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: BAR_Nov_2023.txt
#Location: Barrack Street 02
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-10-31 23:50:00 to 2023-11-30 23:30:00
#Station Status: Current
#Lat: -31.959681   Long: 115.857261 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle, which is 2.234m below Benchmark MWB 1484
#National Station ID: 
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling tube Ø355mm, orifice Ø11mm.
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   92,20231031.2350/
   92,20231031.2355/
   93,20231101.0000/
   93,20231101.0005/
   93,20231101.0010/
   93,20231101.0015/
   93,20231101.0020/
   93,20231101.0025/
   93,20231101.0030/
   94,20231101.0050/
   94,20231101.0055/
   94,20231101.0100/
   94,20231101.0105/
   94,20231101.0110/
   94,20231101.0115/
   94,20231101.0120/
   94,20231101.0125/
   94,20231101.0130/
   92,20231101.0150/
   91,20231101.0155/
   91,20231101.0200/
   90,20231101.0205/
   90,20231101.0210/
   89,20231101.0215/
   89,20231101.0220/
   88,20231101.0225/
   87,20231101.0230/
   85,20231101.0250/
   85,20231101.0255/
   84,20231101.0300/
   84,20231101.0305/
   83,20231101.0310/
   83,20231101.0315/
   82,20231101.0320/
   81,20231101.0325/
   81,20231101.0330/
   78,20231101.0350/
   78,20231101.0355/
   77,20231101.0400/
   76,20231101.0405/
   76,20231101.0410/
   75,20231101.0415/
   75,20231101.0420/
   74,20231101.0425/
   73,20231101.0430/
   70,20231101.0450/
   70,20231101.0455/
   69,20231101.0500/
   69,20231101.0505/
   68,20231101.0510/
   67,20231101.0515/
   66,20231101.0520/
   66,20231101.0525/
   65,20231101.0530/
   63,20231101.0550/
   62,20231101.0555/
   62,20231101.0600/
   61,20231101.0605/
   61,20231101.0610/
   60,20231101.0615/
   59,20231101.0620/
   59,20231101.0625/
   58,20231101.0630/
   56,20231101.0650/
   56,20231101.0655/
   55,20231101.0700/
   54,20231101.0705/
   54,20231101.0710/
   53,20231101.0715/
   53,20231101.0720/
   52,20231101.0725/
   52,20231101.0730/
   49,20231101.0750/
   49,20231101.0755/
   49,20231101.0800/
   48,20231101.0805/
   48,20231101.0810/
   47,20231101.0815/
   47,20231101.0820/
   47,20231101.0825/
   46,20231101.0830/
   44,20231101.0850/
   44,20231101.0855/
   44,20231101.0900/
   43,20231101.0905/
   43,20231101.0910/
   42,20231101.0915/
   42,20231101.0920/
   42,20231101.0925/
   41,20231101.0930/
   40,20231101.0950/
   40,20231101.0955/
   40,20231101.1000/
   40,20231101.1005/
   39,20231101.1010/
   39,20231101.1015/
   39,20231101.1020/
   38,20231101.1025/
   38,20231101.1030/
   38,20231101.1050/
   38,20231101.1055/
   37,20231101.1100/
   37,20231101.1105/
   37,20231101.1110/
   37,20231101.1115/
   37,20231101.1120/
   37,20231101.1125/
   37,20231101.1130/
   37,20231101.1150/
   36,20231101.1155/
   36,20231101.1200/
   36,20231101.1205/
   36,20231101.1210/
   36,20231101.1215/
   37,20231101.1220/
   37,20231101.1225/
   37,20231101.1230/
   39,20231101.1250/
   39,20231101.1255/
   39,20231101.1300/
   39,20231101.1305/
   39,20231101.1310/
   40,20231101.1315/
   40,20231101.1320/
   41,20231101.1325/
   41,20231101.1330/
   42,20231101.1350/
   42,20231101.1355/
   42,20231101.1400/
   42,20231101.1405/
   42,20231101.1410/
   42,20231101.1415/
   43,20231101.1420/
   43,20231101.1425/
   44,20231101.1430/
   44,20231101.1450/
   45,20231101.1455/
   45,20231101.1500/
   45,20231101.1505/
   46,20231101.1510/
   46,20231101.1515/
   47,20231101.1520/
   47,20231101.1525/
   47,20231101.1530/
   48,20231101.1550/
   49,20231101.1555/
   49,20231101.1600/
   50,20231101.1605/
   50,20231101.1610/
   50,20231101.1615/
   51,20231101.1620/
   51,20231101.1625/
   51,20231101.1630/
   52,20231101.1650/
   52,20231101.1655/
   53,20231101.1700/
   53,20231101.1705/
   53,20231101.1710/
   53,20231101.1715/
   53,20231101.1720/
   54,20231101.1725/
   54,20231101.1730/
   57,20231101.1750/
   57,20231101.1755/
   58,20231101.1800/
   58,20231101.1805/
   59,20231101.1810/
   59,20231101.1815/
   60,20231101.1820/
   60,20231101.1825/
   61,20231101.1830/
   63,20231101.1850/
   64,20231101.1855/
   64,20231101.1900/
   65,20231101.1905/
   65,20231101.1910/
   65,20231101.1915/
