#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: BAR_Oct_2023.txt
#Location: Barrack Street 02
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-10-01 01:05:00 to 2023-10-31 23:30:00
#Station Status: Current
#Lat: -31.959681   Long: 115.857261 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle, which is 2.234m below Benchmark MWB 1484
#National Station ID: 
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling tube Ø355mm, orifice Ø11mm.
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
  101,20231001.0105/
  101,20231001.0110/
  100,20231001.0115/
  100,20231001.0120/
  100,20231001.0125/
   99,20231001.0130/
   99,20231001.0135/
   98,20231001.0140/
   98,20231001.0145/
   97,20231001.0150/
   97,20231001.0155/
   97,20231001.0200/
   91,20231001.0305/
   90,20231001.0310/
   90,20231001.0315/
   89,20231001.0320/
   89,20231001.0325/
   88,20231001.0330/
   83,20231001.0420/
   82,20231001.0425/
   82,20231001.0430/
   81,20231001.0435/
   81,20231001.0440/
   80,20231001.0445/
   79,20231001.0505/
   79,20231001.0510/
   79,20231001.0515/
   77,20231001.0535/
   77,20231001.0540/
   76,20231001.0545/
   76,20231001.0550/
   76,20231001.0555/
   75,20231001.0600/
   72,20231001.0635/
   72,20231001.0640/
   72,20231001.0645/
   72,20231001.0650/
   71,20231001.0655/
   71,20231001.0700/
   71,20231001.0705/
   71,20231001.0710/
   71,20231001.0715/
   72,20231001.0805/
   73,20231001.0810/
   73,20231001.0815/
   73,20231001.0835/
   73,20231001.0840/
   73,20231001.0845/
   75,20231001.0920/
   76,20231001.0925/
   76,20231001.0930/
   76,20231001.0935/
   76,20231001.0940/
   76,20231001.0945/
   77,20231001.0950/
   77,20231001.0955/
   77,20231001.1000/
   77,20231001.1005/
   78,20231001.1010/
   79,20231001.1015/
   79,20231001.1020/
   79,20231001.1025/
   80,20231001.1030/
   89,20231001.1320/
   90,20231001.1325/
   90,20231001.1330/
   93,20231001.1450/
   93,20231001.1455/
   93,20231001.1500/
  101,20231001.1905/
  102,20231001.1910/
  103,20231001.1915/
  126,20231001.2305/
  126,20231001.2310/
  127,20231001.2315/
  127,20231001.2320/
  127,20231001.2325/
  128,20231001.2330/
  133,20231002.0050/
  134,20231002.0055/
  134,20231002.0100/
  133,20231002.0120/
  133,20231002.0125/
  133,20231002.0130/
  131,20231002.0235/
  129,20231002.0240/
  128,20231002.0245/
  125,20231002.0320/
  124,20231002.0325/
  124,20231002.0330/
  123,20231002.0350/
  122,20231002.0355/
  121,20231002.0400/
  114,20231002.0450/
  114,20231002.0455/
  113,20231002.0500/
   88,20231002.0850/
   88,20231002.0855/
   87,20231002.0900/
   78,20231002.1750/
   79,20231002.1755/
   79,20231002.1800/
   97,20231002.2120/
   97,20231002.2125/
   98,20231002.2130/
  108,20231003.0105/
  108,20231003.0110/
  108,20231003.0115/
  108,20231003.0120/
  108,20231003.0125/
