#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: BAR_Dec_2023.txt
#Location: Barrack Street 02
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-11-30 23:50:00 to 2023-12-21 11:45:00
#Station Status: Current
#Lat: -31.959681   Long: 115.857261 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle, which is 2.234m below Benchmark MWB 1484
#National Station ID: 
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling tube Ø355mm, orifice Ø11mm.
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
  113,20231130.2350/
  113,20231130.2355/
  113,20231201.0000/
  114,20231201.0020/
  114,20231201.0025/
  114,20231201.0030/
  114,20231201.0035/
  114,20231201.0040/
  114,20231201.0045/
  114,20231201.0050/
  114,20231201.0055/
  114,20231201.0100/
  113,20231201.0120/
  112,20231201.0125/
  112,20231201.0130/
  111,20231201.0135/
  111,20231201.0140/
  110,20231201.0145/
  109,20231201.0150/
  109,20231201.0155/
  108,20231201.0200/
  106,20231201.0220/
  105,20231201.0225/
  105,20231201.0230/
  104,20231201.0235/
  103,20231201.0240/
  103,20231201.0245/
  102,20231201.0250/
  102,20231201.0255/
  101,20231201.0300/
   99,20231201.0320/
   99,20231201.0325/
   98,20231201.0330/
   98,20231201.0335/
   97,20231201.0340/
   96,20231201.0345/
   96,20231201.0350/
   95,20231201.0355/
   94,20231201.0400/
   92,20231201.0420/
   91,20231201.0425/
   90,20231201.0430/
   90,20231201.0435/
   89,20231201.0440/
   88,20231201.0445/
   88,20231201.0450/
   87,20231201.0455/
   87,20231201.0500/
   83,20231201.0520/
   82,20231201.0525/
   81,20231201.0530/
   81,20231201.0535/
   80,20231201.0540/
   80,20231201.0545/
   79,20231201.0550/
   79,20231201.0555/
   78,20231201.0600/
   76,20231201.0620/
   75,20231201.0625/
   74,20231201.0630/
   74,20231201.0635/
   73,20231201.0640/
   72,20231201.0645/
   72,20231201.0650/
   71,20231201.0655/
   70,20231201.0700/
   68,20231201.0720/
   67,20231201.0725/
   67,20231201.0730/
   66,20231201.0735/
   65,20231201.0740/
   65,20231201.0745/
   64,20231201.0750/
   64,20231201.0755/
   64,20231201.0800/
   62,20231201.0820/
   61,20231201.0825/
   61,20231201.0830/
   60,20231201.0835/
   60,20231201.0840/
   59,20231201.0845/
   58,20231201.0850/
   58,20231201.0855/
   58,20231201.0900/
   56,20231201.0920/
   56,20231201.0925/
   55,20231201.0930/
   55,20231201.0935/
   55,20231201.0940/
   54,20231201.0945/
   54,20231201.0950/
   54,20231201.0955/
   54,20231201.1000/
   53,20231201.1020/
   53,20231201.1025/
   53,20231201.1030/
   53,20231201.1035/
   53,20231201.1040/
   53,20231201.1045/
   53,20231201.1050/
   53,20231201.1055/
   53,20231201.1100/
   53,20231201.1120/
   53,20231201.1125/
   52,20231201.1130/
   53,20231201.1135/
   52,20231201.1140/
   53,20231201.1145/
   52,20231201.1150/
   52,20231201.1155/
   52,20231201.1200/
   53,20231201.1220/
   53,20231201.1225/
   53,20231201.1230/
   54,20231201.1235/
   54,20231201.1240/
   54,20231201.1245/
   55,20231201.1250/
   55,20231201.1255/
   56,20231201.1300/
   57,20231201.1320/
   58,20231201.1325/
   59,20231201.1330/
   59,20231201.1335/
   59,20231201.1340/
   60,20231201.1345/
   61,20231201.1350/
   61,20231201.1355/
   61,20231201.1400/
   62,20231201.1420/
   62,20231201.1425/
   62,20231201.1430/
   63,20231201.1435/
   63,20231201.1440/
   64,20231201.1445/
   64,20231201.1450/
   64,20231201.1455/
   64,20231201.1500/
   65,20231201.1520/
   65,20231201.1525/
   65,20231201.1530/
   66,20231201.1535/
   66,20231201.1540/
   67,20231201.1545/
   67,20231201.1550/
   68,20231201.1555/
   68,20231201.1600/
   70,20231201.1620/
   70,20231201.1625/
   71,20231201.1630/
   72,20231201.1635/
   72,20231201.1640/
   73,20231201.1645/
   73,20231201.1650/
   73,20231201.1655/
   73,20231201.1700/
   74,20231201.1720/
   75,20231201.1725/
   75,20231201.1730/
   75,20231201.1735/
   76,20231201.1740/
   76,20231201.1745/
   77,20231201.1750/
   77,20231201.1755/
   78,20231201.1800/
   80,20231201.1820/
   80,20231201.1825/
   81,20231201.1830/
   81,20231201.1835/
   82,20231201.1840/
   82,20231201.1845/
   83,20231201.1850/
   84,20231201.1855/
   84,20231201.1900/
   87,20231201.1920/
   87,20231201.1925/
   87,20231201.1930/
   88,20231201.1935/
   88,20231201.1940/
   89,20231201.1945/
   90,20231201.1950/
   90,20231201.1955/
   91,20231201.2000/
   92,20231201.2020/
   93,20231201.2025/
   94,20231201.2030/
   94,20231201.2035/
   95,20231201.2040/
   95,20231201.2045/
   96,20231201.2050/
