#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: BAR_Sep_2023.txt
#Location: Barrack Street 02
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-08-31 23:50:00 to 2023-09-30 20:15:00
#Station Status: Current
#Lat: -31.959681   Long: 115.857261 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle, which is 2.234m below Benchmark MWB 1484
#National Station ID: 
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling tube Ø355mm, orifice Ø11mm.
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   81,20230831.2350/
   81,20230831.2355/
   81,20230901.0000/
   82,20230901.0005/
   82,20230901.0010/
   82,20230901.0015/
   82,20230901.0020/
   83,20230901.0025/
   83,20230901.0030/
   83,20230901.0035/
   84,20230901.0040/
   84,20230901.0045/
   84,20230901.0050/
   84,20230901.0055/
   84,20230901.0100/
   85,20230901.0105/
   85,20230901.0110/
   85,20230901.0115/
   85,20230901.0120/
   86,20230901.0125/
   86,20230901.0130/
   86,20230901.0135/
   86,20230901.0140/
   86,20230901.0145/
   86,20230901.0150/
   86,20230901.0155/
   86,20230901.0200/
   86,20230901.0205/
   86,20230901.0210/
   86,20230901.0215/
   86,20230901.0220/
   86,20230901.0225/
   86,20230901.0230/
   86,20230901.0235/
   85,20230901.0240/
   85,20230901.0245/
   85,20230901.0250/
   84,20230901.0255/
   84,20230901.0300/
   84,20230901.0305/
   83,20230901.0310/
   83,20230901.0315/
   83,20230901.0320/
   83,20230901.0325/
   82,20230901.0330/
   82,20230901.0335/
   81,20230901.0340/
   81,20230901.0345/
   81,20230901.0350/
   81,20230901.0355/
   81,20230901.0400/
   81,20230901.0405/
   80,20230901.0410/
   80,20230901.0415/
   81,20230901.0420/
   80,20230901.0425/
   80,20230901.0430/
   80,20230901.0435/
   80,20230901.0440/
   81,20230901.0445/
   81,20230901.0450/
   81,20230901.0455/
   81,20230901.0500/
   81,20230901.0505/
   81,20230901.0510/
